stamp,year,month,day,hour,minute,weekday,holiday,timepoint,reserve,label
2016-01-01 00:00:00,2016,1,1,0,0,5,0.5,0,0.0,64.2868135576469
2016-01-01 01:00:00,2016,1,1,1,0,5,0.5,60,0.0,63.37706525206526
2016-01-01 02:00:00,2016,1,1,2,0,5,0.5,120,0.0,65.98810442560443
2016-01-01 03:00:00,2016,1,1,3,0,5,0.5,180,0.0,61.90949336782669
2016-01-01 04:00:00,2016,1,1,4,0,5,0.5,240,0.0,65.67361025694359
2016-01-01 05:00:00,2016,1,1,5,0,5,0.5,300,0.0,65.77442650359318
2016-01-01 06:00:00,2016,1,1,6,0,5,0.5,360,0.0,65.54063116563115
2016-01-01 07:00:00,2016,1,1,7,0,5,0.5,420,0.0,64.7909290617624
2016-01-01 08:00:00,2016,1,1,8,0,5,0.5,480,0.0,64.64723912640581
2016-01-01 09:00:00,2016,1,1,9,0,5,0.5,540,0.0,63.25905023821691
2016-01-01 10:00:00,2016,1,1,10,0,5,0.5,600,0.0,60.41414124747457
2016-01-01 11:00:00,2016,1,1,11,0,5,0.5,660,0.0,60.008834071334064
2016-01-01 12:00:00,2016,1,1,12,0,5,0.5,720,0.0,58.84584655417988
2016-01-01 13:00:00,2016,1,1,13,0,5,0.5,780,0.0,55.374556103722774
2016-01-01 14:00:00,2016,1,1,14,0,5,0.5,840,0.0,59.26112801112802
2016-01-01 15:00:00,2016,1,1,15,0,5,0.5,900,0.0,59.24907456157456
2016-01-01 16:00:00,2016,1,1,16,0,5,0.5,960,0.0,53.06552150302151
2016-01-01 17:00:00,2016,1,1,17,0,5,0.5,1020,0.0,49.89098957848958
2016-01-01 18:00:00,2016,1,1,18,0,5,0.5,1080,0.0,58.2686674353341
2016-01-01 19:00:00,2016,1,1,19,0,5,0.5,1140,0.0,60.522020209520214
2016-01-01 20:00:00,2016,1,1,20,0,5,0.5,1200,0.0,62.774387878554556
2016-01-01 21:00:00,2016,1,1,21,0,5,0.5,1260,0.0,62.18818062568064
2016-01-01 22:00:00,2016,1,1,22,0,5,0.5,1320,0.0,64.57822207822208
2016-01-01 23:00:00,2016,1,1,23,0,5,0.5,1380,0.0,66.58187554020888
2016-01-02 00:00:00,2016,1,2,0,0,6,0.0,0,0.0,66.49188378355045
2016-01-02 01:00:00,2016,1,2,1,0,6,0.0,60,0.0,66.40083483833484
2016-01-02 02:00:00,2016,1,2,2,0,6,0.0,120,0.0,64.21410442243776
2016-01-02 03:00:00,2016,1,2,3,0,6,0.0,180,0.0,62.65714786548119
2016-01-02 04:00:00,2016,1,2,4,0,6,0.0,240,0.0,61.25557188057189
2016-01-02 05:00:00,2016,1,2,5,0,6,0.0,300,0.0,63.78823045489713
2016-01-02 06:00:00,2016,1,2,6,0,6,0.0,360,0.0,61.99952574952575
2016-01-02 07:00:00,2016,1,2,7,0,6,0.0,420,0.0,60.76027086443753
2016-01-02 08:00:00,2016,1,2,8,0,6,0.0,480,0.0,58.831847686014356
2016-01-02 09:00:00,2016,1,2,9,0,6,0.0,540,0.0,54.6385337010337
2016-01-02 10:00:00,2016,1,2,10,0,6,0.0,600,0.0,52.170877691711034
2016-01-02 11:00:00,2016,1,2,11,0,6,0.0,660,0.0,35.03597149430482
2016-01-02 12:00:00,2016,1,2,12,0,6,0.0,720,0.0,23.95013540846874
2016-01-02 13:00:00,2016,1,2,13,0,6,0.0,780,0.0,27.009405342738678
2016-01-02 14:00:00,2016,1,2,14,0,6,0.0,840,0.0,47.9222972972973
2016-01-02 15:00:00,2016,1,2,15,0,6,0.0,900,0.0,53.9505991589325
2016-01-02 16:00:00,2016,1,2,16,0,6,0.0,960,0.0,50.469026198192864
2016-01-02 17:00:00,2016,1,2,17,0,6,0.0,1020,0.0,48.807046827880164
2016-01-02 18:00:00,2016,1,2,18,0,6,0.0,1080,0.0,52.868704639537974
2016-01-02 19:00:00,2016,1,2,19,0,6,0.0,1140,0.0,58.51400018066684
2016-01-02 20:00:00,2016,1,2,20,0,6,0.0,1200,0.0,61.56997979914647
2016-01-02 21:00:00,2016,1,2,21,0,6,0.0,1260,0.0,62.019182227515564
2016-01-02 22:00:00,2016,1,2,22,0,6,0.0,1320,0.0,63.038384809218165
2016-01-02 23:00:00,2016,1,2,23,0,6,0.0,1380,0.0,65.53172782339449
2016-01-03 00:00:00,2016,1,3,0,0,7,0.0,0,0.0,66.68809533392867
2016-01-03 01:00:00,2016,1,3,1,0,7,0.0,60,0.0,67.66079338996006
2016-01-03 02:00:00,2016,1,3,2,0,7,0.0,120,0.0,67.00046283379618
2016-01-03 03:00:00,2016,1,3,3,0,7,0.0,180,0.0,67.24827506077507
2016-01-03 04:00:00,2016,1,3,4,0,7,0.0,240,0.0,66.98688813272148
2016-01-03 05:00:00,2016,1,3,5,0,7,0.0,300,0.0,66.28639878639878
2016-01-03 06:00:00,2016,1,3,6,0,7,0.0,360,0.0,64.48584573584573
2016-01-03 07:00:00,2016,1,3,7,0,7,0.0,420,0.0,64.24828466495133
2016-01-03 08:00:00,2016,1,3,8,0,7,0.0,480,0.0,63.26011482261481
2016-01-03 09:00:00,2016,1,3,9,0,7,0.0,540,0.0,58.82922497505831
