stamp,year,month,day,hour,minute,weekday,holiday,daylight,rain,volume
2017-06-01 00:00:00,2017,6,1,0,0,4,0.0,0.0,0.0,66.05833333333332
2017-06-01 01:00:00,2017,6,1,1,0,4,0.0,0.0,0.0,65.35833333333333
2017-06-01 02:00:00,2017,6,1,2,0,4,0.0,0.0,0.0,65.95
2017-06-01 03:00:00,2017,6,1,3,0,4,0.0,0.0,0.0,66.35
2017-06-01 04:00:00,2017,6,1,4,0,4,0.0,0.0,0.0,67.15
2017-06-01 05:00:00,2017,6,1,5,0,4,0.0,0.0,0.0,67.81666666666665
2017-06-01 06:00:00,2017,6,1,6,0,4,0.0,0.0,0.0,65.89166666666667
2017-06-01 07:00:00,2017,6,1,7,0,4,0.0,0.0,0.0,54.43333333333334
2017-06-01 08:00:00,2017,6,1,8,0,4,0.0,0.0,0.0,32.466666666666676
2017-06-01 09:00:00,2017,6,1,9,0,4,0.0,0.0,0.0,30.13333333333333
2017-06-01 10:00:00,2017,6,1,10,0,4,0.0,0.0,0.0,52.116666666666674
2017-06-01 11:00:00,2017,6,1,11,0,4,0.0,0.0,0.0,58.73333333333334
2017-06-01 12:00:00,2017,6,1,12,0,4,0.0,0.0,0.0,58.24166666666667
2017-06-01 13:00:00,2017,6,1,13,0,4,0.0,0.0,0.0,58.53333333333333
2017-06-01 14:00:00,2017,6,1,14,0,4,0.0,0.0,0.0,46.658333333333324
2017-06-01 15:00:00,2017,6,1,15,0,4,0.0,0.0,0.0,39.30833333333333
2017-06-01 16:00:00,2017,6,1,16,0,4,0.0,0.0,0.0,15.541666666666666
2017-06-01 17:00:00,2017,6,1,17,0,4,0.0,0.0,0.0,13.108333333333329
2017-06-01 18:00:00,2017,6,1,18,0,4,0.0,0.0,0.0,22.108333333333334
2017-06-01 19:00:00,2017,6,1,19,0,4,0.0,0.0,0.0,63.224999999999994
2017-06-01 20:00:00,2017,6,1,20,0,4,0.0,0.0,0.0,65.80000000000001
2017-06-01 21:00:00,2017,6,1,21,0,4,0.0,0.0,0.0,65.78333333333333
2017-06-01 22:00:00,2017,6,1,22,0,4,0.0,0.0,0.0,67.3
2017-06-01 23:00:00,2017,6,1,23,0,4,0.0,0.0,0.0,65.96666666666667
2017-06-02 00:00:00,2017,6,2,0,0,5,0.0,0.0,0.0,66.00833333333333
2017-06-02 01:00:00,2017,6,2,1,0,5,0.0,0.0,0.0,66.06666666666666
2017-06-02 02:00:00,2017,6,2,2,0,5,0.0,0.0,0.0,65.39166666666667
2017-06-02 03:00:00,2017,6,2,3,0,5,0.0,0.0,0.0,66.61666666666667
2017-06-02 04:00:00,2017,6,2,4,0,5,0.0,0.0,0.0,67.46666666666667
2017-06-02 05:00:00,2017,6,2,5,0,5,0.0,0.0,0.0,68.5
2017-06-02 06:00:00,2017,6,2,6,0,5,0.0,0.0,0.0,65.78333333333332
2017-06-02 07:00:00,2017,6,2,7,0,5,0.0,0.0,0.0,54.974999999999994
2017-06-02 08:00:00,2017,6,2,8,0,5,0.0,0.0,0.0,45.15833333333334
2017-06-02 09:00:00,2017,6,2,9,0,5,0.0,0.0,0.0,48.06666666666666
2017-06-02 10:00:00,2017,6,2,10,0,5,0.0,0.0,0.0,56.71666666666667
2017-06-02 11:00:00,2017,6,2,11,0,5,0.0,0.0,0.0,57.875
2017-06-02 12:00:00,2017,6,2,12,0,5,0.0,0.0,0.0,57.449999999999996
2017-06-02 13:00:00,2017,6,2,13,0,5,0.0,0.0,0.0,44.10833333333333
2017-06-02 14:00:00,2017,6,2,14,0,5,0.0,0.0,0.0,39.791666666666664
2017-06-02 15:00:00,2017,6,2,15,0,5,0.0,0.0,0.0,45.1
2017-06-02 16:00:00,2017,6,2,16,0,5,0.0,0.0,0.0,14.600000000000001
2017-06-02 17:00:00,2017,6,2,17,0,5,0.0,0.0,0.0,18.258333333333336
2017-06-02 18:00:00,2017,6,2,18,0,5,0.0,0.0,0.0,40.03333333333334
2017-06-02 19:00:00,2017,6,2,19,0,5,0.0,0.0,0.0,62.99166666666667
2017-06-02 20:00:00,2017,6,2,20,0,5,0.0,0.0,0.0,64.59166666666667
2017-06-02 21:00:00,2017,6,2,21,0,5,0.0,0.0,0.0,66.6
2017-06-02 22:00:00,2017,6,2,22,0,5,0.0,0.0,0.0,67.31666666666666
2017-06-02 23:00:00,2017,6,2,23,0,5,0.0,0.0,0.0,67.15833333333335
2017-06-03 00:00:00,2017,6,3,0,0,6,0.0,0.0,0.0,66.66666666666666
2017-06-03 01:00:00,2017,6,3,1,0,6,0.0,0.0,0.0,65.77499999999999
2017-06-03 02:00:00,2017,6,3,2,0,6,0.0,0.0,0.0,65.74166666666667
2017-06-03 03:00:00,2017,6,3,3,0,6,0.0,0.0,0.0,66.33333333333333
2017-06-03 04:00:00,2017,6,3,4,0,6,0.0,0.0,0.0,66.30833333333334
2017-06-03 05:00:00,2017,6,3,5,0,6,0.0,0.0,0.0,66.39999999999999
2017-06-03 06:00:00,2017,6,3,6,0,6,0.0,0.0,0.0,66.43333333333334
2017-06-03 07:00:00,2017,6,3,7,0,6,0.0,0.0,0.0,66.39166666666667
2017-06-03 08:00:00,2017,6,3,8,0,6,0.0,0.0,0.0,65.95
2017-06-03 09:00:00,2017,6,3,9,0,6,0.0,0.0,0.0,64.23333333333333
2017-06-03 10:00:00,2017,6,3,10,0,6,0.0,0.0,0.0,61.34166666666667
2017-06-03 11:00:00,2017,6,3,11,0,6,0.0,0.0,0.0,61.23333333333334
2017-06-03 12:00:00,2017,6,3,12,0,6,0.0,0.0,0.0,59.925000000000004
2017-06-03 13:00:00,2017,6,3,13,0,6,0.0,0.0,0.0,60.150000000000006
2017-06-03 14:00:00,2017,6,3,14,0,6,0.0,0.0,0.0,56.96666666666667
2017-06-03 15:00:00,2017,6,3,15,0,6,0.0,0.0,0.0,42.31666666666667
2017-06-03 16:00:00,2017,6,3,16,0,6,0.0,0.0,0.0,58.56666666666666
2017-06-03 17:00:00,2017,6,3,17,0,6,0.0,0.0,0.0,56.37500000000002
2017-06-03 18:00:00,2017,6,3,18,0,6,0.0,0.0,0.0,62.25833333333332
2017-06-03 19:00:00,2017,6,3,19,0,6,0.0,0.0,0.0,65.24166666666667
2017-06-03 20:00:00,2017,6,3,20,0,6,0.0,0.0,0.0,64.85000000000001
2017-06-03 21:00:00,2017,6,3,21,0,6,0.0,0.0,0.0,65.2
2017-06-03 22:00:00,2017,6,3,22,0,6,0.0,0.0,0.0,67.05833333333334
2017-06-03 23:00:00,2017,6,3,23,0,6,0.0,0.0,0.0,66.76666666666667
2017-06-04 00:00:00,2017,6,4,0,0,7,0.0,0.0,0.0,66.80833333333332
2017-06-04 01:00:00,2017,6,4,1,0,7,0.0,0.0,0.0,66.43333333333332
2017-06-04 02:00:00,2017,6,4,2,0,7,0.0,0.0,0.0,66.26666666666667
2017-06-04 03:00:00,2017,6,4,3,0,7,0.0,0.0,0.0,66.26666666666667
2017-06-04 04:00:00,2017,6,4,4,0,7,0.0,0.0,0.0,66.05
2017-06-04 05:00:00,2017,6,4,5,0,7,0.0,0.0,0.0,66.68333333333332
2017-06-04 06:00:00,2017,6,4,6,0,7,0.0,0.0,0.0,66.625
2017-06-04 07:00:00,2017,6,4,7,0,7,0.0,0.0,0.0,66.55833333333334
2017-06-04 08:00:00,2017,6,4,8,0,7,0.0,0.0,0.0,65.75000000000001
2017-06-04 09:00:00,2017,6,4,9,0,7,0.0,0.0,0.0,64.94166666666668
2017-06-04 10:00:00,2017,6,4,10,0,7,0.0,0.0,0.0,63.67499999999999
2017-06-04 11:00:00,2017,6,4,11,0,7,0.0,0.0,0.0,63.23333333333333
2017-06-04 12:00:00,2017,6,4,12,0,7,0.0,0.0,0.0,62.025
